Date,Open,High,Low,Close,Adj Close,Volume
2024-12-05,2674.2,2655.0,2644.5,2669.4,2669.4,"39,268"
2024-12-04,2639.2,2658.3,2637.0,2653.8,2653.8,"1,062"
2024-12-03,2639.0,2654.7,2636.0,2644.7,2644.7,"1,062"
2024-12-02,2649.0,2649.8,2621.7,2634.9,2634.9,695
2024-11-29,2636.4,2664.3,2620.7,2657.0,2657.0,"3,861"
2024-11-28,2636.4,2648.6,2620.7,2639.7,2639.7,"61,653"
2024-11-27,2633.5,2657.9,2627.2,2639.9,2639.9,"61,653"
2024-11-26,2625.6,2625.6,2620.3,2620.3,2620.3,"177,858"
2024-11-25,2689.4,2689.4,2616.8,2616.8,2616.8,94
2024-11-22,2687.5,2710.5,2685.6,2709.9,2709.9,41
2024-11-21,2659.3,2672.1,2655.7,2672.1,2672.1,33
2024-11-20,2638.5,2648.2,2638.5,2648.2,2648.2,27
2024-11-19,2621.9,2627.7,2619.3,2627.1,2627.1,87
2024-11-18,2591.7,2610.7,2589.4,2610.6,2610.6,136
2024-11-15,2565.7,2565.7,2565.7,2565.7,2565.7,20
2024-11-14,2555.1,2576.2,2554.2,2568.2,2568.2,27
2024-11-13,2611.1,2611.8,2580.8,2580.8,2580.8,53
2024-11-12,2605.5,2605.5,2592.8,2600.0,2600.0,118
2024-11-11,2671.7,2671.7,2611.2,2611.2,2611.2,20
2024-11-08,2688.5,2694.6,2682.9,2687.5,2687.5,"1,038"
2024-11-07,2662.5,2699.1,2662.5,2698.4,2698.4,676
2024-11-06,2734.5,2734.5,2659.4,2667.6,2667.6,427
2024-11-05,2743.0,2743.9,2740.3,2740.3,2740.3,23
2024-11-04,2736.5,2737.1,2736.1,2736.1,2736.1,16
2024-11-01,2745.5,2756.0,2734.2,2738.6,2738.6,109
2024-10-31,2787.4,2787.5,2733.5,2738.3,2738.3,849
2024-10-30,2774.6,2789.0,2774.6,2788.5,2788.5,231
2024-10-29,2768.4,2768.4,2768.4,2768.4,2768.4,848
2024-10-28,2736.1,2742.9,2729.5,2742.9,2742.9,56
2024-10-25,2725.5,2742.4,2725.5,2740.9,2740.9,29
2024-10-24,2729.0,2736.1,2729.0,2734.9,2734.9,27
2024-10-23,2742.5,2742.5,2714.2,2714.4,2714.4,18
2024-10-22,2731.7,2746.0,2728.6,2744.2,2744.2,93
2024-10-21,2721.9,2738.4,2719.5,2723.1,2723.1,52
2024-10-18,2713.7,2719.6,2713.7,2713.7,2713.7,29
2024-10-17,2677.4,2691.7,2677.2,2691.0,2691.0,30
2024-10-16,2674.0,2674.0,2674.0,2674.0,2674.0,6
2024-10-15,2661.4,2661.4,2661.4,2661.4,2661.4,39
2024-10-14,2655.0,2655.3,2647.8,2647.8,2647.8,40
2024-10-11,2638.3,2658.1,2638.2,2657.6,2657.6,12
2024-10-10,2602.5,2628.3,2602.5,2620.6,2620.6,320
2024-10-09,2603.0,2607.7,2603.0,2606.0,2606.0,152
2024-10-08,2639.0,2639.0,2609.3,2615.0,2615.0,687
2024-10-07,2648.7,2657.4,2639.0,2644.8,2644.8,284
2024-10-04,2656.0,2667.0,2639.0,2645.8,2645.8,114
2024-10-03,2642.8,2657.1,2640.0,2657.1,2657.1,354
2024-10-02,2650.6,2657.2,2640.0,2647.1,2647.1,72
2024-10-01,2631.4,2670.9,2631.4,2667.3,2667.3,153
2024-09-30,2660.9,2662.1,2623.2,2636.1,2636.1,973
2024-09-27,2670.0,2672.1,2641.7,2644.3,2644.3,"4,228"
2024-09-26,2662.3,2669.9,2660.8,2669.9,2669.9,"17,216"
2024-09-25,2656.3,2664.2,2649.3,2659.2,2659.2,175
2024-09-24,2636.8,2662.3,2625.5,2651.2,2651.2,35
2024-09-23,2626.5,2626.5,2626.5,2626.5,2626.5,9
2024-09-20,2590.4,2621.8,2590.4,2619.9,2619.9,17
